                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.42177,                0.25729,                 0.8503,                0.95704,                0.95136,                0.98571,                 0.8799,                0.34726,                0.16385,                0.82094,              0.0036145,              0.0036145,              0.0036145
                    131,                0.42121,                0.25701,                0.85025,                0.95747,                0.95135,                0.98405,                0.87885,                0.34703,                 0.1639,                0.82086,               0.003565,               0.003565,               0.003565
                    132,                0.41858,                0.25389,                0.84973,                 0.9577,                0.95134,                0.98403,                0.87849,                0.34687,                0.16377,                0.82083,              0.0035155,              0.0035155,              0.0035155
                    133,                0.42181,                0.25681,                0.85147,                0.95765,                0.95135,                0.98392,                0.87748,                0.34667,                0.16405,                0.82078,               0.003466,               0.003466,               0.003466
                    134,                0.42062,                0.25611,                0.85022,                0.95797,                0.95135,                0.98393,                0.87907,                0.34661,                0.16378,                0.82075,              0.0034165,              0.0034165,              0.0034165
                    135,                0.42094,                0.25368,                0.85058,                0.95896,                0.95134,                0.98394,                0.87815,                0.34648,                0.16372,                0.82064,               0.003367,               0.003367,               0.003367
                    136,                 0.4206,                0.25568,                0.85101,                0.95889,                0.95134,                0.98392,                0.87918,                0.34632,                0.16379,                0.82063,              0.0033175,              0.0033175,              0.0033175
                    137,                0.41981,                0.25527,                0.85126,                0.95932,                0.95119,                0.98393,                0.87991,                0.34611,                0.16362,                0.82058,               0.003268,               0.003268,               0.003268
                    138,                0.41854,                0.25257,                0.84991,                0.95966,                0.95114,                0.98392,                0.87839,                0.34606,                0.16357,                0.82057,              0.0032185,              0.0032185,              0.0032185
                    139,                0.41722,                0.24994,                0.84911,                   0.96,                0.95111,                0.98394,                0.87885,                0.34609,                0.16369,                0.82053,               0.003169,               0.003169,               0.003169
                    140,                0.41911,                0.25529,                0.85107,                0.96053,                0.95107,                0.98396,                0.87931,                0.34595,                0.16363,                0.82051,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.4174,                0.24999,                0.85051,                0.96063,                0.95107,                0.98391,                0.88034,                0.34601,                 0.1637,                 0.8206,                0.00307,                0.00307,                0.00307
                    142,                0.41635,                0.25315,                 0.8493,                0.96071,                0.95108,                0.98389,                0.88063,                0.34586,                0.16364,                0.82055,              0.0030205,              0.0030205,              0.0030205
                    143,                0.41526,                0.24993,                0.84941,                0.96135,                0.95101,                0.98389,                0.87969,                0.34583,                0.16372,                0.82052,               0.002971,               0.002971,               0.002971
                    144,                0.41436,                 0.2501,                0.84851,                0.96161,                0.95096,                0.98387,                0.87952,                 0.3457,                0.16384,                0.82046,              0.0029215,              0.0029215,              0.0029215
                    145,                0.41478,                0.24952,                 0.8497,                0.96099,                0.95101,                0.98392,                0.87865,                0.34556,                0.16394,                0.82039,               0.002872,               0.002872,               0.002872
                    146,                0.41549,                0.25003,                0.85009,                0.96064,                0.95101,                0.98385,                0.87953,                0.34565,                0.16378,                0.82043,              0.0028225,              0.0028225,              0.0028225
                    147,                0.41838,                0.24909,                 0.8512,                0.96021,                0.95103,                0.98395,                0.87831,                0.34547,                0.16371,                0.82039,               0.002773,               0.002773,               0.002773
                    148,                0.41269,                0.24853,                0.84888,                0.96003,                0.95099,                0.98396,                0.87924,                0.34538,                0.16378,                 0.8203,              0.0027235,              0.0027235,              0.0027235
                    149,                0.41368,                0.24698,                0.84852,                0.95973,                0.95101,                0.98395,                 0.8794,                0.34534,                0.16392,                0.82029,               0.002674,               0.002674,               0.002674
                    150,                0.41457,                0.24613,                0.84917,                0.95965,                0.95102,                0.98395,                0.87909,                0.34527,                0.16396,                0.82029,              0.0026245,              0.0026245,              0.0026245
                    151,                0.41126,                0.24708,                0.84636,                0.95959,                0.95101,                0.98394,                0.87999,                0.34528,                0.16386,                0.82028,               0.002575,               0.002575,               0.002575
                    152,                0.40933,                0.24685,                0.84798,                0.95494,                0.95155,                0.98395,                0.87987,                0.34508,                0.16387,                0.82022,              0.0025255,              0.0025255,              0.0025255
                    153,                0.41186,                0.24571,                0.84868,                0.95459,                0.95161,                0.98395,                 0.8785,                0.34507,                0.16408,                0.82016,               0.002476,               0.002476,               0.002476
                    154,                0.41081,                0.24498,                0.84822,                0.95471,                0.95157,                0.98395,                0.87852,                0.34495,                0.16417,                0.82011,              0.0024265,              0.0024265,              0.0024265
                    155,                0.40875,                0.24329,                0.84823,                0.95474,                0.95158,                0.98393,                0.87952,                0.34485,                0.16409,                0.82006,               0.002377,               0.002377,               0.002377
                    156,                0.40985,                0.24544,                0.84811,                 0.9543,                0.95157,                0.98394,                0.87877,                0.34481,                0.16417,                0.82001,              0.0023275,              0.0023275,              0.0023275
